Land,Stadt/Region,Urlaubstyp,Gerichte,Restaurants/Imbiss/Bar/Cafe/Foodplaces,Sehenswürdigkeiten/Events,Hotels,Reisezeit,Verkehrsmittel,Kosten Food,Kosten Leben,Interesse,Score,Latitude,Longitude
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,11.429515,42.391571
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,10.551406,42.989931
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,9.699535,44.368074
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,9.956565,44.467734
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,10.595468,44.107635
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,11.406949,44.234053
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,11.748432,44.123452
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,11.814525,43.814257
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,12.324914,43.742676
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,11.957728,43.008729
Italien,Toskana,Gemütlich,,,,,Sommer,,1,1,1,1,11.605229,42.436863
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-7.396863,37.172229
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-7.528699,37.599964
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-6.924451,38.189502
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-5.88075,38.051212
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-5.078748,38.714325
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-4.254773,38.336147
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-2.584852,38.508293
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-1.662,37.390766
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-2.134412,36.74206
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-4.452527,36.662785
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-5.573133,36.007879
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-6.441052,36.715644
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-6.737683,37.110926
Spanien,Andalusien,Rundreise,,,,,Nebensaison,,2,2,2,2,-7.37489,37.180983
